Program,Length,time
RapidNJ,1348,1.428834000000279
Quicktree,1348,6.864724500000193
RapidNJ,1494,1.479916599999342
Quicktree,1494,7.1867277000001195
RapidNJ,1561,1.6625794999999923
Quicktree,1561,8.271253299999444
RapidNJ,1690,1.9976104999996096
Quicktree,1690,10.287296100000276
RapidNJ,1757,2.191108600000007
Quicktree,1757,10.469230199999402
RapidNJ,1850,2.280963299999712
Quicktree,1850,13.159717000000455
RapidNJ,215,0.07577840000067226
Quicktree,215,0.2236675999993167
RapidNJ,305,0.10967770000024755
Quicktree,305,0.3636243000000832
RapidNJ,402,0.15679280000040308
Quicktree,402,0.6334999999999127
RapidNJ,495,0.19048759999986944
Quicktree,495,0.7318531999999323
RapidNJ,609,0.3094248000006701
Quicktree,609,0.977120300000024
RapidNJ,778,0.4293072000000393
Quicktree,778,1.351343100000122
RapidNJ,878,0.592099500000586
Quicktree,878,2.0662041000005047
RapidNJ,90,0.04324670000005426
Quicktree,90,0.09557849999964674
