,Program,Length,time
0,RapidNJ,1348,1.428834000000279
1,Quicktree,1348,6.864724500000193
2,RapidNJ,1494,1.479916599999342
3,Quicktree,1494,7.1867277000001195
4,RapidNJ,1561,1.6625794999999925
5,Quicktree,1561,8.271253299999444
6,RapidNJ,1690,1.9976104999996096
7,Quicktree,1690,10.287296100000276
8,RapidNJ,1757,2.191108600000007
9,Quicktree,1757,10.469230199999402
10,RapidNJ,1850,2.280963299999712
11,Quicktree,1850,13.159717000000455
12,RapidNJ,215,0.07577840000067226
13,Quicktree,215,0.22366759999931674
14,RapidNJ,305,0.10967770000024757
15,Quicktree,305,0.36362430000008317
16,RapidNJ,402,0.15679280000040308
17,Quicktree,402,0.6334999999999127
18,RapidNJ,495,0.19048759999986942
19,Quicktree,495,0.7318531999999323
20,RapidNJ,609,0.3094248000006701
21,Quicktree,609,0.9771203000000241
22,RapidNJ,778,0.4293072000000393
23,Quicktree,778,1.351343100000122
24,RapidNJ,878,0.592099500000586
25,Quicktree,878,2.0662041000005047
26,RapidNJ,90,0.04324670000005426
27,Quicktree,90,0.09557849999964674
